,Manufacturer,Model,Price,Transmission,Power,Engine_CC,Fuel,Male,Female,Unknown,Total
0,ford,focus,30.62,5.97,94.03,1497.17,petrol,7221769,3777860,465102,11464731
1,volkswagen,golf,31.24,6.16,89.46,1537.41,petrol,7339526,4731293,702810,12773629
2,renault,clio,22.1,5.62,75.58,1219.65,petrol,3929068,5633947,445121,10008136
3,bmw,320i,47.85,6.44,126.11,1995.78,petrol,6213366,2090926,429229,8733521
4,volkswagen,polo,18.19,5.07,60.96,1408.06,petrol,3656888,4881887,499911,9038686
5,peugeot,206,20.03,4.83,71.33,1631.5,petrol,2296472,3683364,306102,6285938
6,ford,mondeo,39.97,1.75,130.25,1998.5,petrol,8254266,1818587,340635,10413488
7,nissan,micra,20.38,4.87,67.96,1279.7,petrol,3640369,5751513,481611,9873493
8,honda,civic,29.94,4.5,106.22,1480.58,petrol,3600760,2236102,317657,6154519
9,ford,ka+,15.46,5.0,60.8,1196.0,petrol,1332915,3511095,249023,5093033
10,renault,megane,26.45,5.41,87.31,1623.79,petrol,3535975,2540045,313460,6389480
11,toyota,yaris,20.72,3.52,74.4,1397.8,petrol,1123228,1815123,238300,3176651
12,mercedes,cla,46.53,7.04,131.6,1596.92,petrol,2378333,738425,197093,3313851
13,audi,a4,57.93,6.16,149.71,2283.11,petrol,2092276,590478,142309,2825063
14,volkswagen,passat,46.06,6.49,125.44,1835.85,petrol,2802196,657681,187983,3647860
15,audi,a3,36.22,6.47,94.33,1424.67,petrol,998800,649367,103368,1751535
16,peugeot,307,27.46,4.87,86.45,1723.0,petrol,1363512,1061799,122884,2548195
17,peugeot,207,21.7,4.9,79.77,1536.0,petrol,476061,679772,60289,1216122
18,citroen,xsara,22.36,4.88,72.58,1743.44,petrol,1972452,1093968,124152,3190572
19,skoda,fabia,19.01,5.21,66.97,1292.35,petrol,876234,673468,79418,1629120
20,bmw,118i,37.43,6.2,104.2,1796.6,petrol,454389,393075,51930,899394
21,land-rover,freelander,43.86,5.29,105.17,2083.52,diesel,1203928,649318,96698,1949944
22,citroen,c3,22.9,5.41,75.65,1364.0,petrol,537611,697918,60987,1296516
23,toyota,corolla,27.24,3.03,91.61,1677.95,petrol,2396708,1468001,219642,4084351
24,bmw,535i,93.71,8.0,225.0,2979.0,petrol,2324987,381963,133030,2839980
25,toyota,avensis,37.32,4.32,103.68,1873.26,petrol,1399564,332226,103395,1835185
26,mercedes,e,78.07,7.67,192.4,2598.82,petrol,1441402,262265,110393,1814060
27,renault,scenic,32.06,5.96,89.35,1472.83,diesel,574248,396409,50114,1020771
28,seat,ibiza,19.94,5.65,76.32,1205.19,petrol,876764,818292,70204,1765260
29,land-rover,range,107.67,8.28,196.34,2521.09,diesel,1226881,261669,57235,1545785
30,nissan,qashqai+2,34.94,5.25,97.72,1820.66,diesel,245772,169087,28872,443731
31,skoda,octavia,30.65,6.35,95.0,1136.69,petrol,886602,203611,48021,1138234
32,fiat,500l,26.29,5.6,74.73,1186.33,diesel,104814,294060,25451,424325
33,mercedes,a,31.1,4.55,93.01,1699.12,petrol,528671,660014,90256,1278941
34,nissan,almera,22.78,4.92,81.67,1847.67,petrol,1464641,825376,115912,2405929
35,citroen,c4,29.26,5.95,90.62,1462.36,petrol,395423,198469,24514,618406
36,mini,one,24.1,6.25,68.75,1498.25,petrol,145294,355580,31340,532214
37,toyota,rav4,43.55,1.35,137.77,2261.19,petrol,655660,656904,94328,1406892
38,saab,9-3x,49.29,6.0,145.0,1963.67,petrol,783362,270910,65498,1119770
39,peugeot,107,11.14,5.0,50.0,998.0,petrol,153304,331212,24561,509077
40,toyota,aygo,15.21,5.0,53.0,998.0,petrol,151295,288988,35922,476205
41,hyundai,i10,16.01,5.0,51.78,998.0,petrol,133228,194016,11253,338497
42,audi,a6,82.06,7.73,199.73,2790.45,diesel,782345,140270,52441,975056
43,kia,picanto,16.59,5.0,52.85,998.0,petrol,190337,320352,19246,529935
44,nissan,note,19.32,5.0,66.43,1348.29,diesel,225989,165523,25557,417069
45,seat,leon,32.94,6.35,114.82,1615.37,petrol,502890,213815,29255,745960
46,jaguar,xe,65.57,8.0,167.25,1998.0,petrol,699664,132524,33668,865856
47,ford,fusion,19.38,4.86,61.27,1470.91,petrol,381792,288070,26610,696472
48,honda,accord,39.4,5.78,117.71,2151.65,petrol,1806354,429940,125014,2361308
49,mazda,mx-5,37.47,5.86,103.43,1718.57,petrol,545858,542594,76112,1164564
50,mazda,6,42.67,5.91,118.19,2095.19,petrol,505288,121266,27883,654437
51,citroen,c1,13.49,5.0,52.38,1028.92,petrol,143337,243741,17434,404512
52,suzuki,swift,19.09,3.73,68.91,1180.55,petrol,396649,470331,59159,926139
53,ford,galaxy,53.79,6.0,124.86,1855.0,diesel,834988,351869,63281,1250138
54,peugeot,308,32.33,5.89,103.11,1482.5,petrol,183762,127887,13594,325243
55,mazda,3,31.0,5.79,101.89,1905.63,petrol,306862,193769,23688,524319
56,audi,tt,64.59,6.78,178.56,2011.56,petrol,387738,265557,44958,698253
57,renault,laguna,34.02,5.55,99.0,1920.03,diesel,2167327,563967,111154,2842448
58,mazda,2,21.6,6.0,64.62,1496.0,petrol,153228,229439,20298,402965
59,fiat,panda,10.42,5.0,52.44,1095.78,petrol,470026,590655,47511,1108192
60,toyota,auris,26.97,3.08,85.69,1515.28,petrol,200051,121761,18987,340799
61,peugeot,306,18.64,4.84,67.0,1698.64,petrol,2763378,1642119,202701,4608198
62,peugeot,106,12.36,4.65,53.88,1366.29,petrol,1749698,2412162,182649,4344509
63,volvo,v70,50.96,6.18,135.29,1971.16,diesel,703323,167052,58499,928874
64,citroen,saxo,12.33,4.82,53.82,1367.27,petrol,1158309,1321464,94721,2574494
65,volkswagen,touran,32.99,6.23,94.04,1528.81,diesel,241607,143740,25887,411234
66,volkswagen,beetle,33.25,6.17,112.75,1475.0,petrol,291074,526182,51977,869233
67,kia,rio,22.96,6.29,80.0,998.0,petrol,234688,159184,13588,407460
68,ford,c-max,32.18,6.0,99.0,1448.6,petrol,127037,71255,7198,205490
69,bmw,x5,113.27,8.0,246.33,2994.67,diesel,358146,112083,23085,493314
70,nissan,juke,28.23,6.45,86.0,999.0,petrol,50420,61289,11574,123283
71,suzuki,vitara,26.8,5.43,85.71,1310.0,petrol,652195,491931,66047,1210173
72,kia,ceed,26.98,5.86,88.09,1460.8,petrol,132305,68166,6009,206480
73,peugeot,406,28.61,4.76,92.82,2043.82,petrol,1774260,371377,96038,2241675
74,hyundai,getz,13.64,4.71,69.0,1424.86,petrol,235175,272573,20387,528135
